product_id,product_name,product_price,product_type,user_type
10058103105228,型原力 长袖t恤男生春装秋衣潮流韩版ins港风体恤宽松打底衫内搭纯棉字母印花情侣上衣 白色 XL,47.94,时尚服装,时尚达人
10057359558453,花花公子休闲裤男春秋冬季新款直筒裤男士潮流商务休闲裤四面弹百搭长裤 156卡其四季款 28,158.9,时尚服装,时尚达人
100018729711,AEMAPE夹克男士外套2022秋冬季宽松百搭棒球服男帅气韩版潮流时尚纯色工装茄克男上衣服男装QHLP2222黑色L,168.0,时尚服装,时尚达人
100019593359,【三件装】稻草人 MEXICAN 短袖T恤男圆领夏季潮流宽松透气休闲衣服男士打底衫上衣男装 A888白+黑+深灰 XL,99.0,时尚服装,时尚达人
10057368865062,OEMG 2022秋季新款重磅纯棉长袖T恤男韩版潮流百搭纯色内搭上衣服学生港风ins宽松帅气打底衫 白色 XL,47.04,时尚服装,时尚达人
10068369645485,哈夫朵休闲运动套装卫衣女纯欲风辣妹时尚不规则长袖立领显瘦百搭女装潮 115芥末黄套装 XL【建议115-130斤】,128.0,时尚服装,时尚达人
100041626808,GLM森马集团品牌短袖T恤男夏季重磅衣服男装男士潮流半袖宽松上衣,49.9,时尚服装,时尚达人
10066138871502,花花公子休闲裤男抗皱宽松直筒裤新款裤子男春秋冬季潮流显瘦港风阔腿长裤 橄榄绿 3XL,138.9,时尚服装,时尚达人
100008431629,KIN DON金盾牛仔外套男春季韩版宽松休闲夹克男潮流运动棒球服男黑色L,149.0,时尚服装,时尚达人
10059245949959,纯棉长袖t恤男240g重磅青年男士长袖新疆棉体恤衫全棉圆领纯色春秋季黑色打底衫男装潮流上衣宾色 黑色+白色 XL【130-150斤】,99.0,时尚服装,时尚达人
100034220045,西域骆驼（VanCamel）夹克男外套秋季休闲韩版男士潮流立领青年棒球服工装上衣纯色男装 深灰色 3XL,118.0,时尚服装,时尚达人
10058181395344,型原力 长袖t恤男士情侣打底衫内搭上衣春装秋衣潮流体恤宽松纯棉圆领 白色 XL,39.19,时尚服装,时尚达人
10068275932784,百鹊亭短袖t恤男ins潮流港风嘻哈打底衫内搭上衣服男宽松学生时尚打底衫 113白色+118黑色【两件装】 XL,39.0,时尚服装,时尚达人
10028836674889,花花公子夹克男士工装春季新款干部外套男三防衣多穿潮流上衣服饰商务男装 2086灰色四季款 XL,189.0,时尚服装,时尚达人
